Index,Name,Use,Name_English,Province,Province_English,Region_ID,Area,fetch,depth_w,depth_bs,T_bs,h_u,h_tq,depth_w_calibrated,Hylak_id,Lat
L120,仙女湖,1,Lake Xiannv,江西省,Jiangxi,0,39.45,1772.265095,27.4,10,273.15,10,2,7.48374556,1382235,27.73434271
L121,香山湖,1,Lake Xiangshan,宁夏回族自治区,Ningxia,3,15,1092.825474,5,10,273.15,10,2,3.8831985,-999,37.48966914
L122,响洪甸水库,0,Reservoir Xianghongdian,安徽省,Anhui,0,59.21,2171.214401,69,10,273.15,10,2,17.8374798,15183,31.53660893
L123,小浪底水库,1,Reservoir Xiaolangdi,河南省,Henan,0,278,4704.6528,205.4,10,273.15,10,2,122.5896214,1372157,34.91786781
L124,小兴凯湖,1,Lake Xiaoxingkai,黑龙江省,Heilongjiang,2,4380,18674.20988,2.6,10,273.15,10,2,3.99714302,1285,45.33456221
L125,新丰江水库,1,Reservoir Xinfengjiang,广东省,Guangdong,0,370,5427.57761,52.5,10,273.15,10,2,13.5719955,1491,23.92252369
L126,星云湖,1,Lake Xingyun,云南省,Yunnan,1,34.71,1662.388352,12.6,10,273.15,10,2,23.80680666,15514,24.33714493
L127,兴凯湖,1,Lake Khanka,黑龙江省,Heilongjiang,2,140,3338.63697,5,10,273.15,10,2,5.4370415,171400,44.99007321
L128,玄武湖,0,Lake Xuanwu,江苏省,Jiangsu,0,3.44,523.340568,3.5,10,273.15,10,2,2.47301145,175371,32.07448814
L129,鸭子荡水库,1,Reservoir Yazidang,宁夏回族自治区,Ningxia,3,3,488.7264094,5,10,273.15,10,2,5.188089,-999,38.16004422
L130,羊卓雍错,0,Lake Yangzhuoyong,西藏自治区,Xizang,4,630,7082.318525,28.2,10,273.15,10,2,13.47207455,1473,28.95502
L131,阳澄湖,1,Lake Yangcheng,江苏省,Jiangsu,0,116.57,3046.481734,1.7,10,273.15,10,2,2.98416878,1438,31.42710357
L132,阳宗海,1,Lake Yangzong,云南省,Yunnan,1,30,1545.488606,39.2,10,273.15,10,2,40.46853944,15494,24.91206334
L133,异龙湖,1,Lake Yilong,云南省,Yunnan,1,92,2706.444303,8.1,10,273.15,10,2,4.142428695,15535,23.67096508
L134,瀛湖,1,Lake Yinghu,陕西省,Shaanxi,3,77.5,2484.025396,45,10,273.15,10,2,39.64348665,15093,32.57964323
L135,于桥水库,1,Reservoir Yuqiao,天津市,Tianjin,0,135,3278.476421,13.1,10,273.15,10,2,3.275609412,1323,40.03638768
L136,玉滩水库,1,Reservoir Yutan,重庆市,Chongqing,1,10,892.288263,6.5,10,273.15,10,2,8.4795451,176313,29.56287776
L137,云蒙湖,1,Lake Yunmeng,山东省,Shandong,0,42,1828.64678,30.6,10,273.15,10,2,9.11886732,14873,35.68037764
L138,漳河水库,0,Reservoir Zhanghe,湖北省,Hubei,0,84.18,2588.866412,36.4,10,273.15,10,2,9.14551638,15242,31.04201243
L139,长寿湖,0,Lake Changshou,重庆市,Chongqing,1,65.5,2283.630477,35.1,10,273.15,10,2,8.87193216,15330,29.96233501
L140,长潭水库,1,Reservoir Changtan,浙江省,Zhejiang,0,45,1892.829244,29.7,10,273.15,10,2,7.426381644,15414,28.64185394
L141,昭平台水库,1,Reservoir Zhaopingtai,河南省,Henan,0,38,1739.390039,28.8,10,273.15,10,2,9.597077856,15019,33.75890244
L142,柘林湖,1,Lake Zhelin,江西省,Jiangxi,0,248.74,4450.18428,39.2,10,273.15,10,2,10.70667248,1380108,29.27345047
